?,Wordform in Mòoré (high tones marked),Morph. breakdown (high tones marked),LaTex Spelling (with breakdown),Gloss,Latex Gloss,POS (webonary categories),Spelling variants,Teo/Pacchiaroti spelling,Link of SIL Spelling,SIL spelling,Tonal Pattern in SIL,FLEX Spelling,Recording,Translation / Meaning,Source(s) & Page #,Questions,Examples/Notes,
,koglgo,kogl-go,kogl-go,boat-cl,boat-\cl{},n,,,https://www.webonary.org/moore/gbc96d88b-2696-48fa-b9a7-e957a0cb3b4d/?lang=en,koglgo,,,https://drive.google.com/file/d/1IOB2giHT4tCpCLfm_9Cvs-j6BoUy-MZq/view?usp=sharing,"canoe, boat",Nikiema 410,,,
,koom,koom,koom,water,water,n,,,https://www.webonary.org/moore/gd90b44fc-bc22-4095-80ea-a5997f682895?lang=en,koom,òó,,,water,,,,
,koomã,koom-ã,koom-\~a,water-defn,water-\defn{},n,kooma,,,,,,,,,,,
,koom koglg,koom kogl-g,koom koglg,water boat-cl,water boat-\cl{},n,"koom-koglg, koom koglog",,,,,,,,,,,
,koom koglgo,koom kogl-go,koom koglgo,water boat-cl,water boat-\cl{},n,,,https://www.webonary.org/moore/gc2b6dea5-2ea0-4309-a18f-93a92f7d0fa4/?lang=en,koom koglgo,,,,water boat,SIL 181,,,
,koomã koglgã,koom-ã kogl-g-ã,kooma kogl-g-\~a,water-defn boat-cl-defn,water-\defn{} boat-\cl{}-defn{},n,kooma koglga,,,,,,,,,,,
,koom-koglgã,koom-kogl-g-ã,koom-kogl-g-\~a,water-boat-cl-defn,water-boat-\cl{}-defn{},,,,,,,,,,,,,
,la,la,la,cop,\cop{},v,"la, lá",,https://www.webonary.org/moore/gf747c8ae-f97d-471e-a2fa-80e4cb8d3346/?lang=en,la,á,,,"to be, exist, be the 'truth', be the case that","Lehr 316, Lehr 12",,"1. and, but 2. verb used to emphasize 3. object marker",
,la,la,la,and,and,conj,"la, lâ, lá",,https://www.webonary.org/moore/g8c12c57f-80a0-49ab-a464-d0a07351c771/?lang=en,la,à,là,,"CD [(Marker of) Coordination], and, and also, but",Vanderelst 7,,"lá=à (and=3sg), ¿La yám yé? = And you? (And yourself?)",
,la,la,la,foc,\foc{},v,la,lá,,la,,,,used to emphasize; used for non-subject focus in cleft constructions [Peterson 1971 p. 139],Lehr 37,,"Ad á ya m zoa Kúka. = This is my friend Kuka whom I have not known for a long time. Ad á lá m zoa Kúka. = This is my friend Kuka with thom I grew up. / Teo (2016): ""In addition, there is a construction containing the copula la, which marks the subject for greater emphasis: [subject la predicate]."" Glosses it as ""COP"".",
,lagfo,lagfo,lagfo,coin,coin,n,lagfo,,https://www.webonary.org/moore/g0318751b-2e7d-41a7-937a-b44bb727a875/?lang=en,lagfo,á,,,coin,SIL 217,,,
,ligd,ligd,ligd,money,money,n,ligd,,,ligd,,,,money,SIL 232,,,
,ligdi,ligdi,ligdi,money,money,n,"ligdi, ligidi",,https://www.webonary.org/moore/ga8ea7bd1-3f6e-4dc3-9e84-5fa3d1cd3e37/?lang=en,ligdi,í,,,"money, coins",SIL 232,,,
,linga,ling-a,ling-a,surprise-aff,surprise-\aff{},v,liinga,,,,,,,surprised,,,,
,lingi,lingi,lingi,surprise,surprise,v,,,https://www.webonary.org/moore/gb84945be-9053-4606-a707-2b32e91fda38/?lang=en,lingi,,,,,,,,
,lóóg,lóóg,l\'o\'og,pass,pass,v,loog,,,,,,,,,,,
,lóóge,lóóge,l\'o\'oge,pass,pass,v,looge,,,looge,ó-è,,,"pass,depart,leave",,,,
,luiila,luiila,luiila,bird,bird,n,"luiila, liuula",,https://www.webonary.org/moore/gd15352cc-4c6a-483f-986f-f5a2a9b5a08a/?lang=en,luiila,ú,,,bird,SIL 235,,,
,luiili,luiili,luiili,bird.pl,bird.\pl{},n,"liwili, liũli, liuli, lʋili, luiil, liuuli",,https://www.webonary.org/moore/gd15352cc-4c6a-483f-986f-f5a2a9b5a08a/?lang=en,luiili,,,,birds,SIL 235,,,
,m,m,m,1sg,1\sg{},pron,m,,https://www.webonary.org/moore/gf282573b-c207-4b1a-8ee8-ab26f26be413/?lang=en,m,,,,"I, me, my singular [shorter form /m/ is unemphatic]",Lehr 3/4,,,
,mam,mam,mam,1sg,1\sg{}.\nom{},pron,"mã, maam",màm (subject),,mam,,màm (1sg.subj),,"I, me, my singular",Lehr 3/4,,,
,máám,máám,máám,1sg,1\sg{}.\acc{},pron,"máán, maam, mam",máám (object),,,,máám (1sg.obj),,"I, me, my singular",Lehr 3/4,,,
,mááne,mááne,mááne,make,make,v,maane,,https://www.webonary.org/moore/g89e02a13-773b-41d1-9aae-a872f68dab23/?lang=en,maane,à,mááne,,"to do, to make",Nikiema 522,,,
,máána,máán-a,máán-a,make-aff,make-\aff{},v,"maandá, maaná, maana, man nan",,,manna,,máánã,,"to do, to make",Nikiema 522,,"Ka maand a boto ye, maana a woto",
,mákda,mák-d-a,m\'ak-d-a,measure-impf-aff,measure-\impf{}-\aff{},v,,,https://www.webonary.org/moore/g9c395006-8572-4741-b759-e8132867939b/?lang=en,makdga,á-à,,,,,,,
,maka,maka,maka,measure,measure,v,maaka,,,,,,,,,,,
,mák,mák,mák,measure,measure,n,"mank, mak'",,https://www.webonary.org/moore/gc013fbff-94a8-40b9-8376-d86a931f736f/?lang=en,make,á-è,,,measure,"SIL ""mak"" https://www.webonary.org/moore?s=mak&search=Search&key=&tax=-1&search_options_set=1&match_whole_words=1&displayAdvancedSearchName=0&lang=en",,Mak nao-yakemd a ye bala. Frn Mesure la distance d'un seul pas. Eng Measure the distance of one single step.,
,mɛ́tr,mɛtr a,m\high{\textipa{E}}tr a,meter num,meter \numeralmarker{},,"mɛtra, metra, mẽtra",,,,,,,,Vanderelst spells it mɛtr,,,
,mɛ́tr,mɛtr,m\high{\textipa{E}}tr,meter,meter,n,"mètr, metr, mɛtr",,https://www.webonary.org/moore/g4f0e00e0-b757-420c-89cd-367372a10353/?lang=en,metre,é-è,,,,,,,
,-mɛ,mé,m\'e,decl,\decl{},prt,"mɛ, mé, me",,,,,,,,,,See Pacchiarioti verb template paper for lots of background,
,mika,mika,mika,wow,wow,,,,,mika,,,,"surprised with the result, huh",,,,
,miki,miki,miki,notice,notice,verb,miki,,https://www.webonary.org/moore/g0283a0bc-7225-4d39-9457-0a79ed3eac0d/?lang=en,miki (v),í-ì,,,"to notice, to become aware ",SIL 260,,"Minim is noun for knowledge, capacity",
,n,n,n,$,\nlink{},conj,,,,,,,,serializing connector,Pajancic (2017),,,
,na,na,na,fut,\fut{},aux,,,https://www.webonary.org/moore/g91634ca9-8dba-4c8f-a814-5cf7bbb212d6/?lang=en,na,"á, à",,,future particle,SIL 274,,,
,naana,naan-a,naan-a,create-aff,create-\aff{},verb,,,,,,,,,,,,
,naane,naan-e,naane,create,create,v,naane,,https://www.webonary.org/moore/g54b972c5-5b86-497a-b49a-15a314db9c7b/?lang=en,naane,à,,,to create,SIL 276,,"naanda (noun) = creator, PLU = naandba, naande (noun) = drawing",
,naase,naase,naase,four,four,num,naase,,https://www.webonary.org/moore/g3a63d728-d40b-4c1c-bdbf-c6c2267a41de/?lang=en,naase,á-é,,,four,SIL 277,,,
,nan,nan,nan,now,now,aux,nan,,https://www.webonary.org/moore/g83455973-f250-4f44-8498-3c0046207ad0/?lang=en,nan,à,,,"for the moment, presently",SIL 281,,,
,né,né,n\'e,with,with,conj,"ne, né, nɛɛ, nẽ, nɛ, ni",,https://www.webonary.org/moore/g7f80f66d-fecb-440f-ac5a-304c7d09fa37/?lang=en,ne,é,né,,with,Vanderelst 8,Is this the same thing as nē?,,
,nõgo,nõgo,n\~ogo,happy,happy,adv,,,,,,,,happy,,,,
,nɔnge,nɔnge,n\textopeno{}nge,like,like,v,nonge,,https://www.webonary.org/moore/gbd8b13f1-5025-4b4e-a207-c25150136614/?lang=en,nonge,ò,,,"to love, to like",SIL 305,,,
,nɔ́nga,nɔ́ng-a,n\high{\textopeno}ng-a ,like-aff,like-\aff{},v,"nonga, nõnga",,,,,nɔ́ngà ,,,,,,
,noogo,noo-go,noo-go,happy-cl,happy-\cl{},adj,noogo,,https://www.webonary.org/moore/g90d28c52-dfed-4052-a6bf-a023e40f1097/?lang=en,noogo,ò-ó,,,"good, happy",SIL 306,,Plural = noodo,
,noomamɛ,noom-a-mɛ,noom-a-m\textipa{E},be.happy-aff-phb,be.happy-\aff{}-\me{},v,"nõomamẽ, nooma mɛ, noomame, noomam",,,,,,,,,,"Peterson 1971 p. 127: ""the post-verbal particle me [high tone] .. appears in all non-emphatic, affirmative, declarative sentences when no NP or adverbial complement follows the verbal group.""",
,nooma,noom-a,nooma,be.happy-aff,be.happy-\aff{},v,,,,,,,,,,,A sẽn wa wã nooma m sũuri.FrnSa venue m'a fait plaisir. (Le fait qu'il est venu ...)EngHis coming made me happy. ( The fact of his coming ...) https://www.webonary.org/moore?s=nooma&search=Search&key=&tax=-1&search_options_set=1&match_whole_words=1&displayAdvancedSearchName=0&lang=en,
,noome,noome,noome,be.pleasant,be.pleasant,v,,,https://www.webonary.org/moore/gf2afc6a0-a0a4-4b17-9d2c-7ce5b696f612/?lang=en,noome,ò,,,"to be good, be tasty, delicious, pleasant, nice, sweet",,,,
,noóm,noóm,no\'om,what.pleases,what.pleases,n,nõom,,https://www.webonary.org/moore/g4369a106-e45e-4f64-b4e4-59a1dec922f8/?lang=en,noom,òó,,,"good taste, what pleases",SIL 306,,,
,noor,noor,noor,permission,permission,n,,,https://www.webonary.org/moore/gd0003b28-4a12-4204-bc48-61f4f6538886/?lang=en,noore,ó-è,,,permission,,,"la fo diimẽ ti yiid mam sen da kõ foom noor tif dii!"" (You ate more berries than you were allowed to)",
,nũ,nũ,n\~u,five,five,num,,,https://www.webonary.org/moore/gb2f53705-4f17-4c1f-8966-dff8488abb78/?lang=en,nu,ú,,,five,,,,
,oub,oub,oub,3pl,3\pl{},pron,,,,,,,,,,,,
,pa,pa,pa,not,not,aux,,,,,,,,,,,,
,páama,páam-a,p\'aam-a,collect-aff,collect-\aff{},v,paame,páamà,,páamà,,páamà,,obtain,Lehr 321,Is this the same as paama?,,
,páamda,páam-da,p\'aam-d-a,collect,collect-\impf{}-\aff{},v,,páamà,,páamdà,,páamda,,obtained,Lehr 321,,-da makes it past tense?,
,páamdẽ,páam-dẽ,páamd\~e,collect,collect,v,,,,,,,,,,,,
,paame,paame,paame,collect,collect,verb,paame,,https://www.webonary.org/moore/g732c6b76-b0c6-4826-a7f3-876cae296c30/?lang=en,paame ,à,,,"to obtain, receive, get, have",SIL 316,,"Nominal: paamre, paango",
,paase,paase,paase,more,more,verb,paase,,https://www.webonary.org/moore/g357e51d7-0e22-4858-b214-8fd373897f00/?lang=en,paase,à,,,"add, increase, raise, sum",SIL 316,,,
,pãng,pãng,p\~ang,strength,strength,n,"pang, paang",,,,,,,,,,,
,pãnga,pãnga,p\~anga,strength,strength,n,panga,,https://www.webonary.org/moore/ge0687d20-55ca-41f9-8613-9f568e3dc4d2/?lang=en,pãnga,à-á,,,strength,"Vanderelst 3, Rattray 71",Could this be the same as pang?,Plural = pãense,
,pííga,pííga,p\'i\'iga,ten,ten,num,"piiga, pɩga",,https://www.webonary.org/moore?s=piiga&search=Search&key=&tax=-1&search_options_set=1&match_whole_words=1&displayAdvancedSearchName=0&lang=en,piiga,í,,,,,,,
,piss yopoé la nũ,piss yopoé la nũ,piss yopo\'e la n\˜u,75,75,num,"pissopoue la nu,  piss yo poe laa nũ, pisopoe la a nu",,,,,,,,,,,
,raab,raab,raab,gotten,gotten,adj,,,,,,,,,,,,
,ráabo,raabo,raabo,buy,buy,buy,rabo,,https://www.webonary.org/moore/g549534c9-dd7c-4680-a445-df2277e39749/?lang=en,raabo,á,,,,,,,
,ráoa,ráoa,raoa,man,man,n,"ra, roa, rao",,https://www.webonary.org/moore/g8690ce7b-0459-4307-9a46-9601242b4678/?lang=en,raoa,á,,,man,SIL 379,,,
,raopa,raopa,raopa,man.pl,man.\pl{},n,raopa,,https://www.webonary.org/moore/g8690ce7b-0459-4307-9a46-9601242b4678/?lang=en,raopa,,,,men,SIL 380,,,
,rá,rá,r\'a,neg.imper,neg.\imper{},aux,,,,,,,,,,,variant: da,
,ra,ra,ra,buy,buy,v,rà,,,,,,,,,,compare: raaga,
,rá,rá,r\'a,past,\past{},aux,,,,,,,,,,,"variants: da, dag, rag. Ex: A Musa ra d\textipa{V}ndame (Musa formerly worked). (SIL dictionary)",
,rá,rá,r\'a,want,want,v,,,,,,,,,,,"A ra rata ka waoong, la a ka tõog ye. Il voulait venir ici mais il n'a pas pu le faire. He wanted to come but he wasn't able to come.",
,raa,raa,raa,with.an.empty.look,with.an.empty.look,adv,,,,,,,,characterizes an empty look/gaze (SIL),,,A geta ninã raa. He looks at somebody with an empty gaze.,
?,ra,ra,ra,?,?,?,,,,,,,,,,,A John wudug ra tũlman liinga a Mari (Mary is amazed by how fast John can run),
,rát,rát,r\'at,want,want,v,rat,,,,,,,,,,,
,ráta,rát-a,r\'at-a,want-aff,want-\aff{},v,rata,,,rata,,,,want,SIL 383,"In ""Banan damba wana la yamb rata?"" - How many bananas do you need?",,
,ráte,ráte,r\'ate,want,want,v,rate,,https://www.webonary.org/moore/gb21d7dfb-09d9-47b6-978b-94f6f11776d8/?lang=en,rate,á-è,,,want,SIL 383,,,
,réem,réem,r\'eem,play,play,v,"réém, reem",,https://www.webonary.org/moore/g58507a7b-783d-435a-bc93-546e2d3954d0/?lang=en,reem,èé,réèm,,"game, joke, spectacle",SIL 386,,,
,rẽ,rẽ,r\~e,therefore,therefore,adv,,,,,,,,,,,,
,rẽnda,rẽnda,r\~enda,the.one.of,the.one.of,noun,rẽnda,,https://www.webonary.org/moore/ga9a5586d-9eb0-4158-a041-6d7ea3d2b017/?lang=en,rẽnda,ẽ́,,,"the.one.of, belonging property, portion",Vanderelst exx. (6.1) & (6.2),,,
,ríɩ,rí-ɩ,r\high{\textiota{}}-\textiota{},eat-aff,eat-\aff{},v,"rii, rɩɩ",rí-ì (eat-aff); ríd-d-à (eat-prog-aff),,,,,,,,,,
,rɩ,rɩ,r\textiota{},eat,eat,v,ri,,https://www.webonary.org/moore/gd001cce9-f9a4-4331-bcae-33361a7a84ed/?lang=en,rɩ,ì,rì,,to eat,Nikiema 755,,"rɩbdo (noun) = foods, rɩɩbo (noun) = food",
,rʋgdo,rʋgdo,r\textipa{V}gdo,pot.pl,pot.\pl{},n,rʋgdo,,https://www.webonary.org/moore/ga01eb680-c02f-4cb6-baeb-37345fa14ac5/?lang=en,rʋgdo,,,,pots,SIL 412,,,
,rʋko,rʋko,r\textipa{V}ko,pot,pot,n,rʋko,,https://www.webonary.org/moore/ga01eb680-c02f-4cb6-baeb-37345fa14ac5/?lang=en,rʋko,,,,pot,SIL 412,,,
,sãama,sãam-a,s\~aam-a,hurt-aff,hurt-\aff{},v,,,https://www.webonary.org/moore/gf21d0d38-c378-4024-bba3-7ae88950baa9/?lang=en,sãame ,à,,,"hurt, damage",,,,
,sãntɩmetre,sãntɩmetre,s\~ant\textiota{}metre,centimeter,centimeter,n,"centimetr, centimetre, sãntimetr",,https://www.webonary.org/moore/gf9ecc1d7-1d9c-43ae-9d03-155a00810776/?lang=en,sãntɩmetre,á-è,,,,,,,
,sɛgd,sɛgd,s\~{\textipa{E}}gd,should,should,v,"sẽgd, segd, sêgd",,,,,,,must,,,,
,sɛgde n,sɛgde n,sɛgde n,should $,should \nlink{},v conj,"sɛgdẽ, segdi n,  segd\'e n, sɛgd n, segdẽn",,,,,,,,,,,
,sɛgda,sɛgd-a,sɛgd-a,should-aff,should-\aff{},v,"segda, sègda",,,,,,,,,,,
,sɛgde,sɛgde,s\textipa{E}gde,should,should,v,"sɛgde,  segd\'e, segdi",,https://www.webonary.org/moore/g99366300-5363-40ba-99a0-f66bcabfb7b0/?lang=en,sɛgde,ɛ́-è,,,"to be appropriate, to be convenient",SIL 451,,SIL gives: Sɛgdame tɩ koambã sak b ba-rãmbã ne b ma-rãmba.,
,sẽ,sẽ,s\~e,nmlz,\sen{},,"sê, sen, sẽn",sẽ,https://www.webonary.org/moore/g6f961d0d-515e-4e8f-becb-1e597961ef09/?lang=en,sẽn,,,,,,,,
,sib,sib,sib,grape,grape,n,,,,,,,,,,,,
,sibi,sibi,sibi,grape.pl,grape.\pl{},n,"sibi, siba",,https://www.webonary.org/moore/gbfbba1d1-7dae-474c-b9bc-17e316346f00/?lang=en,sibi,,,,wild grapes,Nikiema 833,,,
,sibri,sibri,sibri,grape,grape,n,sibi,,https://www.webonary.org/moore/gbfbba1d1-7dae-474c-b9bc-17e316346f00/?lang=en,sibri,,,,wild grape,Nikiema 833,,,
,solemdem,solemdem,solemdem,mysterious,mysterious,adj,solm,,https://www.webonary.org/moore/g6206b919-f84a-4799-b15b-b96037c557fd/?lang=en,solemdem,,,,,,,,
,sõma,sõma,s\~oma,fast,fast,adv,"sõma, sõama, somma, soma",,,sõma,,,https://drive.google.com/file/d/1bghSJH34GgDX9rhhNJO0Tt6Gfozydbij/view?usp=sharing,good,SIL 465,,,
,sõmb,sõmb,s\~omb,supposed.to,supposed.to,v,,,,somb,,,,supposed to ,,,,
,sõore,sõore,s\~oore,number,number,noun,"sõore, sõdre, sõdse",,https://www.webonary.org/moore/g5798195d-78d3-45b2-a2bd-d0a222696126/?lang=en,sõore,ó-è,,,"number, quantity",SIL 477,,,
,sʋka,sʋka,s\textipa{V}ka,among,among,postpos,suka,,https://www.webonary.org/moore/g489bb7d3-af83-4ab4-8e19-7a9b4a7231e7/?lang=en,sʋka,,,,,,,,
,sũ-sãamse,sũ-sãamse,s\~u-s\~aamse,heart-sadness.pl,heart-sadness.\pl{},n,sũ-sãamse,,https://www.webonary.org/moore/g187c07c5-e2d8-48b1-8286-d20ffd07ea4e/?lang=en,sũ-sãamse,,,,sadness,SIL 487,Plural sadness?? Doesn't sound right,,
,sũ-sãango,sũ-sãango,s\~u-s\~aango,heart-sadness,heart0sadness,n,sũ-sãango,,https://www.webonary.org/moore/g187c07c5-e2d8-48b1-8286-d20ffd07ea4e/?lang=en,sũ-sãango,,,,sadness,SIL 487,,,
,sũ-noomamɛ,sũ-noom-a-mɛ,s\~u-noom-a-m\textipa{E},heart.be.happy-aff-phb,heart.be.happy-\aff{}-\me{},v,"suur nõomamẽ, sũ-noomame",,,,,,,,,,,
,sũurã,sũur-ã,s\~uur-ã,heart-defn,heart-\defn{},n,"sũra, souyan",,,,,,,,,,,
,sũuri,sũuri,s\~uuri,heart,heart,n,"sũuri, suur",,https://www.webonary.org/moore/gad3c75a7-76c1-40a6-b8fd-6b38b7ff484f/?lang=en,sũuri,ú,,,heart,SIL 489,,Plural = sũya,
,sũya,sũya,sũya,heart.pl,heart.\pl{},n,,,https://www.webonary.org/moore/gb9827b3d-21d9-49c5-bebc-702f14a08e5a/?lang=en,sũya,ú,,,,,,,
,sʋʋga,sʋʋga,s\textipa{V}\textipa{V}ga,knife,knife,n,,,https://www.webonary.org/moore/gdbb355c8-0318-4d08-871d-0fe9545a0bae/?lang=en,sʋʋga,ʋ̀-á,,,knife,SIL 492,,,
,sʋʋse,sʋʋse,s\textipa{V}\textipa{V}se,knife.pl,knife.\pl{},n,,,https://www.webonary.org/moore/gdbb355c8-0318-4d08-871d-0fe9545a0bae/?lang=en,sʋʋse,,,,knives,SIL 492,,,
,sʋʋsã,sʋʋs-ã,s\textipa{V}\textipa{V}s-\~a,knife.pl-defn,knife.\pl{}-\defn{},n,"suusan, souussa, sʋʋsa",,,,,,,,,,,
,sɔk,sɔk,s\textopeno{}k,ask,ask,v,sok,,,,,,,,,,,
,sɔke,sɔke,s\textopeno{}ke,ask,ask,v,"sʋke, soke, soké",,https://www.webonary.org/moore/g219b24e8-825c-4f5f-99f5-635e38c8ddd0/?lang=en,soke,ò,,,,,,,
,sɔka,sɔk-a,s\textopeno{}k-a,ask-aff,ask-\aff{},v,"souka, sʋka, soka, suuka",,,,,,,,,,,
,sɔkame,sɔk-a-me,s\textopeno{}k-a-me,ask-aff-phb,ask-\aff{}-\phb{},v,"soukam, sʋkame",,,,,,,,,,,
,taa,ta-a,ta-a,reach-aff,reach-\aff{},v,,,,taa,,,,,,,,
,tã,tã,t\~a,reach,reach,v,ta,,https://www.webonary.org/moore/g05d67ef0-0ea4-4c26-a864-a3b8d4f124f4/?lang=en,ta,á,,,"reached, arrived, reach, arrive, attain, to be equivalent to ","Lehr 326, SIL 493",Is this the same thing as taa?,,
,tãabo,táab,t\'aab,three,three,num,tãabo,,https://www.webonary.org/moore/gc68899ab-b3fd-4b2c-bfd7-3d3fb0846f8e/?lang=en,tãabo,ã́-ò,táàb,,three,SIL 494,,,
,taaba,taaba,taaba,three?,three?,num,taaba,,,,,,,,,, Andã n zoet n yɩɩda taaba?,
,taam,taam,taam,berry,berry,n,,,,,,,,,,,,
,taama,taama,taama,berry.pl,berry.\pl{},n,"taama, taamã",,https://www.webonary.org/moore/g9de6151f-0045-48ee-baf0-a71289c5cd77/?lang=en,taama,,,,shea fruits,"Pajancic 68, Nikiema 886, SIL 495",,,
,taamde,taamde,taamde,berry,berry,n,taama,,https://www.webonary.org/moore/g9de6151f-0045-48ee-baf0-a71289c5cd77/?lang=en,taamde,,,,berry,Nikiema 886,,,
,tagsda,tags-d-a,tags-d-a,think-impf-aff,think-\impf{}-\aff{},noun,tagsdã,,https://www.webonary.org/moore/g5a7c1e9e-938a-42dd-b3f5-e66bc8b4ca6d/?lang=en,tagsda,á,,,thoughts,,,,
,tagsdamɛ,tagsd-a-mɛ,tags-d-a-m\textipa{E},think-impf-aff-phb,think-\impf{}-\aff{}-\me{},v,"tagsdamɛ, taksdamé, tagdame",,,,,,,,,,,
,tagse,tagse,tagse,think,think,v,tagse,,https://www.webonary.org/moore/g2d966a6e-6bdf-4392-98a7-4a30d16b9025/?lang=en,tagse,á-è,,,"think about, ponder",,,,
,take,take,take,think,think,v,,,https://www.webonary.org/moore/ga5c9d28d-04b3-48f0-93ba-056fc255964b/?lang=en,take ,,,,"think about, reflect",,,,
,t'a,t':a,t':a,C:pm,C:\pm{},,ta,,,,,,,,,,"It's a contraction, as in ""Maam tẽndaam ta Bill nẽ fo fããn yaa yei"".",
,ti f,ti f,ti f,C 2sg,\ti{} 2\sg{},,tif,,,,,,,,,,,
,tao,tao,tao,fast,fast,adv,,,https://www.webonary.org/moore/ga7a57c1c-6275-4e25-ac37-3d55761b99a1/?lang=en,tao ,à,,,quickly,SIL 507,,,
,tao-tao,tao-tao,tao-tao,fast-fast,fast-fast,adv,,,,,,,,,,,,
,tara,tara,tara,have,have,v,,,https://www.webonary.org/moore/g475a217d-352b-4f14-8c27-10af4ee09926/?lang=en,tare,à,,,have,,,,
,tata,tata,tata,reach,reach,v,tata,,https://www.webonary.org/moore/g16b2c685-0503-4b18-adb7-7a22c5ec6435/?lang=en,tata,,,,"arrive, attain, reach",SIL 513,,,
,tẽ́,tẽ́ ,t\high{\~{e}},think,think,v,tẽ,,https://www.webonary.org/moore/gcfba7e7c-2412-4441-b7d3-5b703cbc759d/?lang=en,tẽ,é,tẽ́,,to think that,SIL 513,,,
,tẽed,tẽed,t\~eed,think,think,v,tend,,,,,,,,,,,
,tẽ́eda,tẽ́ed-a,t\high{\~e}ed-a,think-aff,think-\aff{},n,"ténda, téndà, tẽnd, tĩĩdã, tẽenda, tẽedã",,https://www.webonary.org/moore/gca0ccfdd-0fb4-4624-9809-beab32743d42/?lang=en,tẽeda ,é-à,,,believer,SIL 515,,,
,tẽka,tẽka,t\~eka,limit,limit,n,"têka, tɛka",,,,,,,limit,,,,
,tẽndamɛ,tẽnd-a-mɛ,t\~end-a-m\textipa{E},think-aff-phb,think-\aff{}-\me{},v,"tẽndaam, tĩĩdm, tẽndam, tẽndame, tendame",,,,,,,,,,,
,tɩ́,tɩ́,t\high{\textiota{}},C,\ti{},cnj,ti,,https://www.webonary.org/moore/g8c928cf5-5623-45a4-8f40-6f3a3b9849ab/?lang=en,tɩ,ɩ́,,,,,,Introduces sentential complements of quotative verbs; marks dependent conjunction \citep[249]{peterson:1971}. Used with different subjects (X went home t\`i Y to bed),
,tigsa,tigs-a,tigsa,collect-aff,collect-\aff{},v,,,,,,,,to collect,,,,
,tigsi,tigs-i,tigsi,collect,collect,v,tigsi,,https://www.webonary.org/moore/ga7d11b6a-6c98-4538-a653-774346e1852c/?lang=en,tigsi,ì,,,"to gather, to collect things",SIL 530,,,
,tɩ loog,tɩ loog,t\textiota{} loog,C pass,\ti{} pass,v,ti loog,,,,,,,"to surpass, to pass",,,,
,to,to,to,how/so,how/so,dem,to,,https://www.webonary.org/moore/gf55112a1-597d-4584-bf5f-ef67ca44a780/?lang=en,to,ó,,,"so, like this, like that, that way",SIL 541,,,
,to-to,to-to,to-to,how-how,how-how,pron.rel,to to,,https://www.webonary.org/moore/g6a942366-cedc-4581-96d9-b7b9fb318365/?lang=en,to-to,,,,"the way, how",,,,
,tõe,tõe,t\~oe,can,can,v,"tõe, tōe, tóē, toẽ, tõɛ, tõõng, toê",,https://www.webonary.org/moore/g96b8a4d3-7425-4b25-af9f-be4fc19d2d16/?lang=en,tõe,ó,,,"can to, be capable to, be possible",SIL 544,,,
,tõoge,tõo-ge,t\~ooge,can,can,v,tóogà,,https://www.webonary.org/moore/g570d47ed-4d3e-40c0-a34d-0e9c7643fb59/?lang=en,tõoge,ó-è,,,can do,"Lehr 328, Vanderelst 12",,,
,tṍogo,tṍo-go ,t\high{\~o}ogo ,power,power,n,"tõogo, toogo",,https://www.webonary.org/moore/g3d268148-847c-44ee-8f3a-4b02bc393673/?lang=en,tõogo,ṍ-ò,,,"power, strength, force, ability",SIL 552,,Plural tõose,
,tʋmd,tʋmd,t\textipa{V}md,work,work,v,"tumb, toumd, tuuma",,,,,,,,,,"Inferred from storyboard ""Anna makes her kids work day and night""",
,tʋlga,tʋlga,t\textipa{V}lga,need[noun],need[\noun{}],n,,,https://www.webonary.org/moore/g45c18730-a9cb-4446-9f24-572eeb39f91a/?lang=en,tʋlga,,,,"need, want, desire",,,,
,tʋlge,tʋlge,t\textipa{V}lge,need,need,v,lagfo,,https://www.webonary.org/moore/g68ff6b97-698c-44ea-84db-f68dac60f2ad/?lang=en,tʋlge,ʋ́-è,,,"need, want, desire",SIL 217,,,
,tʋme,tʋme,t\textipa{V}me,work,work,v,,,https://www.webonary.org/moore/g1628b6d9-91b1-47f0-a2f2-64aa33d4f6eb?lang=en,tʋme,ʋ̀,,,to work,SIL 570,,,
,tʋʋl,tʋʋl,t\textipa{V}\textipa{V},quickly,quickly,adv,"tʋl, toul",,,,,,,,,,,
,tʋʋlg,tʋʋlg,t\textipa{V}\textipa{V}g,quickly,quickly,adv,tʋlg,,https://www.webonary.org/moore/gc897c401-b4ce-45d6-8b2c-81aca9e49570/?lang=en,,,,,,,,,
,tʋʋlga,tʋʋlga,t\textipa{V}\textipa{V}ga,quickly,quickly,adv,,,https://www.webonary.org/moore/gc897c401-b4ce-45d6-8b2c-81aca9e49570/?lang=en,,,,,,,,,
,tʋʋl-tʋʋl,tʋʋl-tʋʋl,t\textipa{V}\textipa{V}l-t\textipa{V}\textipa{V}l,quickly-quickly,quickly-quickly,adv,tʋl-tʋl,,,,,,,,,,,
,tʋʋl-tʋʋle,tʋʋl-tʋʋle,t\textipa{V}\textipa{V}l-t\textipa{V}\textipa{V}le,quickly-quickly,quickly-quickly,adv,"tʋl-tʋle, toul toulé",,,,,,,,,,,
