?,Wordform in Mòoré (high tones marked),Morph. breakdown (high tones marked),LaTex Spelling (with breakdown),Gloss,Latex Gloss,POS (webonary categories),Spelling variants,Teo/Pacchiaroti spelling,Link of SIL Spelling,SIL spelling,Tonal Pattern in SIL,FLEX Spelling,Recording,Translation / Meaning,Source(s) & Page #,Questions,Examples/Notes,
,ya,ya,ya,cop,\cop{},v,"ya, yà",,https://www.webonary.org/moore/g127b303d-5707-4977-8a37-c616d1fc6aeb/?lang=en,ya,à,,,to be ,SIL 675,,,
,yaa,ya-a,ya-a,cop-aff,\cop{}-\aff{},v,"ya, yà-à",yà (is); yà-à (is-AFF),https://www.webonary.org/moore/gbade8dff-9b27-4819-a140-a8de100757d0/?lang=en,yaa,,,,is [without any idea of change],"Lehr 332, Vanderelst 3",,,
,yalẽnga,yalẽnga ,yal\~enga ,wide,wide,adj,yalongo,,https://www.webonary.org/moore/g12d82da0-c0e0-4b6e-ac08-0a6e6c5c041c/?lang=en,yalenga,à-á,,,wide,,,,
,yaalg,yaalg,yaalg,wide,wide,adj,yalg,,,,,,,,,,,
,yaalga,yaalga,yaalga,wide,wide,adj,,,,,,,,wide,SIL 680,,,
,yalg,yalg,yalg,widen,widen,v,,,https://www.webonary.org/moore/g7cffad46-a31f-4434-b380-d09e4b90d694/?lang=en,yalge,,,,to widen,SIL 691,,,
,yalm,yal-m,yalm,wide-cl,wide-\cl{},n,yalem,,https://www.webonary.org/moore/g775193b3-ab85-4d83-8336-a6d552ed8017/?lang=en,yalem,à-é,,,width,SIL 692,,,
,yalma,yal-m-a,yalma,wide-cl-aff,wide-\cl{}-\defn{},n,,,,,,,https://drive.google.com/file/d/10-VGpgQD46ScsGSS2GuR8eUo2CJT2LAW/view?usp=sharing,,,,,
,yalme,yal-me,yalme,be.wide,be.wide,v,yalme,yálmè,https://www.webonary.org/moore/gd2fb7caf-9a20-46c8-a4a1-5c166ec60c82/?lang=en,yalme,,,,to be wide,Nikiema 1135,,,
,yã́mb,yã́mb,yã́mb,you.pl,you.\pl{},pron,"yamb, yam, yãmb",,https://www.webonary.org/moore/g9e576d09-a8e0-42bc-954e-e92d1a678fb0/?lang=en,,,yã́mb (you.pl.nom),,you,,,"occurs in ""yam suka"" (among you)",
,yã́mba,yã́mba,yã́mba,you.pl,you.\pl{},pron,,,,yãmba,ã́-à,yã́mbà (you.pl.obj),,you,,,,
,yao,yao,yao,pay,pay,v,yao,,https://www.webonary.org/moore/g03f55a00-9f98-4369-96ff-bd4b5b2e1aad/?lang=en,yao,á,,,pay,SIL 696,,,
,yaomẽ,yao-mẽ,yao-m\~e,pay-?,pay-\unknown{},v,,,,,,,,,,,,
,yẽke,yẽke,y\~eke,fly,fly,v,yeke,,https://www.webonary.org/moore/g20e3752a-e14a-44fd-82fa-2785e0637434/?lang=en,yẽke,,,,"to fly [bird, bat]",SIL 711,,,
,yel,yel,yel,issue,issue,n,,,,,,,,,,,"Found translation in manuscript about Burkina Kusaal (related Gur language), lots of dictionary entries with yel- prefix in SIL dictionary supporting this",
,yel-lingdim,yel-lingdim,yel-lingdim,issue-surprising,issue-surprising,n,yel-lingdim,,https://www.webonary.org/moore/g9ed425b9-9973-41f8-9147-ee2645755c19/?lang=en,yel-lingdim,,,,"surprise, surprising thing",SIL 713,,,
,yémbré,yémbré,yembr\'e,one,one,num,yembre,,https://www.webonary.org/moore/gf215a4e3-9fd2-4682-a068-1f9dc18bf6b6/?lang=en,yembre,é-é,,,,,,,
,yẽ́nda,yẽ́ndà ,y\high{\~e}ndà ,3sg,3\sg{},pron,yẽnda,,https://www.webonary.org/moore/gf7d0b699-eef1-40b5-8abe-be788a5e26e4/?lang=en,yẽnda,,yẽ́ndà (3sg.obj),,"he, she, him, her, it",SIL 715,,,
,yé,yé,y\'e,one,one,num,ye,,https://www.webonary.org/moore/g8c2368fc-34bd-4472-8a65-e1b15faab7cc/?lang=en,ye,é,,,,,,,
,yé,yé,y\'e,neg,\neg{},aux,ye,,https://www.webonary.org/moore/gc2e6dfb4-65e2-42c0-a36b-e0abd262ba0f/?lang=en,ye,é,,,,,,,
,yé,yé,y\'e,again/still,again/still,aux,ye,,https://www.webonary.org/moore/g0dabf0ae-6a0c-4c34-b09f-65525b9f91cc/?lang=en,ye,é,,,,,,,
,yé,yé,y\'e,so.long.as,so.long.as,aux,ye,,https://www.webonary.org/moore/g3765131d-209c-4bfb-b340-f99993179a8c/?lang=en,ye,é,,,,,,,
,yé,yé,y\'e,C.1sg,C.1\sg{},conj,ye,,https://www.webonary.org/moore/g7b2688e0-8bee-4d3d-8018-d67587b4f064/?lang=en,ye,é,,,,,,,
,yi,yi,yi,two,two,num,"yi, yiibu",,https://www.webonary.org/moore/g59c82023-0f53-44ac-a85c-80d496c22654/?lang=en,yi,ì,,,two,SIL 723,,,
,yɩɩbṹ,yɩɩbṹ,y\textiota{}\textiota{}b\high{\~{u}},three,three,num,yiibu,,https://www.webonary.org/moore/g00b6e7dd-16d2-453c-ac62-b099fc11c3ca/?lang=en,yiibu,ì-ú,yììbú,,three,SIL 726,,,
,yíka,yíka,y\'ika,fly,fly,v,"yɩge, yíkà",,,,,,,fly,Lehr 195/333,,,
,yíkda,yík-d-a,y\'ik-d-a,fly-impf-aff,fly-\impf{}-\aff{},v,"yikda, yíkdà, yegdã, yigda",,,,,,,"fly, fly away","Lehr 195/333, SIL 729","In ""A John wudgdamẽ wa luiil n sen yegdã."" is the final nasal on yegda actually the -wã that goes on ""the fact that"" nominals? (Discussed in SIL dictionary: sẽn ... wã/-ã [è] particule grammaticale. le fait que, quand; the fact that, when. A sẽn wa wã nooma m sũuri. Sa venue m'a fait plaisir. (Le fait qu'il est venu ...) His coming made me happy. ( The fact of his coming ...))",,
,yĩgde,yĩgde ,y\~igde ,fly,fly,adj,yɩgde,,https://www.webonary.org/moore/g2c58c573-2de5-45c4-b2cb-526c16542166/?lang=en,yɩgde,,,,flying,SIL 734,,,
,yɩ́ɩ́d,yɩ́ɩ́d,y\high{\textiota{}}\high{\textiota{}}d,exceed,exceed,v,"yiid, yɩɩd, yiig",,,,,,,,Vanderelst,,,
,yɩ́ɩ́da,yɩ́ɩ́d-a,y\high{\textiota{}}\high{\textiota{}}d-a,exceed-aff,exceed-\aff{},v,"yiida, yιιdã, yιιda",,,,,,,,Vanderelst,,,
,yɩɩde,yɩɩde,y\textiota{}\textiota{}de,exceed,exceed,v,"yɩɩde, yiide",,https://www.webonary.org/moore/g3a73dea6-e6ba-48f3-aa69-9a48f4270430/?lang=en,yɩɩde,ɩ́-è,,,"go beyond, be more than, to be better than",SIL 735,,,
,yɩɩg,yɩɩg,y\textiota{}\textiota{}g,become.more.than,become.more.than,v,yiig,,,,,,,,,,,
,yɩɩge,yɩɩge,y\textiota{}\textiota{}ge,become.more.than,become.more.than,v,yɩɩge,,https://www.webonary.org/moore/g745efe02-4a77-4ab3-a5d6-a9ed26984d86/?lang=en,yɩɩge,ɩ́-è,,,"become more than, outgrow",SIL 735,Is this really a different verb than yiide?,,
,yɩge,yɩge,y\textiota{}ge,fly,fly.away,v,yɩge,,https://www.webonary.org/moore/g39588dd7-a5d9-4514-8539-f7808a7130a7/?lang=en,yɩge,ɩ́,,,fly away,SIL 734,,This is the plural,
,yɩke,yɩke,y\textiota{}ke,fly.away,fly.away,v,yɩke,,https://www.webonary.org/moore/gfe730d07-13a0-4788-95f9-547fc01d6996/?lang=en,yɩke,ɩ́-è,,,"to fly away, fly off",SIL 736,,This is the singular,
,yʋʋre,yʋʋre,y\textipa{V}\textipa{V}re,pot,pot,n,yʋʋre,,https://www.webonary.org/moore/gb8b16dbe-b67d-465a-b69c-7843300e3af9/?lang=en,yʋʋre,ʋ́,,,pot,SIL 765,,,
,yʋya,yʋya,y\textipa{V}ya,pots,pot.\pl{},n,"yʋya, youya, yiuya",,https://www.webonary.org/moore/g5d42fa85-42b7-495b-8ce1-0aed327596dd/?lang=en,yʋya,,,,pots,SIL 765,,,
,zeme,zeme,zeme,be.equivalent,be.equivalent,v,"zeme, zemse",,https://www.webonary.org/moore/g05a88849-0ac9-4af8-ba1b-bed3ef1c5cac/?lang=en,zeme,é,,,"equalize, equal (be), to be equivalent to",SIL 789,,,
,zoeta,zoe-t-a,zoe-t-a,run-impf-aff,run-\impf{}-\aff{},v,"zota, zoéta",,,,,,,,,,,
,zoet,zoe-t,zoe-t,run-impf,run-\impf{},v,"zot, zoét, zoet",,,,,,,,,,,
,zoe,zoe,zoe,run,run,v,"zoe, zoé, zoy",,https://www.webonary.org/moore/gc20896b4-d89b-408d-a766-e8b88c9d40d8/?lang=en,zoe,òe,,,run,Vanderelst 10,,,
,zóeesã,zóee-s-ã,z\'oee-s-\~{a},run-cl-defn,run-\cl{}-\defn{},n,"zoéssan, zoesa",,,,,,,,,,,
,zóeese,zóee-se,z\'oeese,run-cl,run-\cl{},n,zoeese,,https://www.webonary.org/moore/g4c52d373-4f41-48f3-87a3-ad90867ab35e/?lang=en,zoeese,ó,,,running,SIL 810,,,
,zʋʋge,zʋʋge,z\textipa{V}\textipa{V}ge,beyond,beyond,v,zʋʋge,,https://www.webonary.org/moore/g58407548-f2a0-4579-86b0-7c16e6a96efa/?lang=en,zʋʋge,,,,"overshoot, go beyond",SIL 825,,,
,Robert,Robert,Robert,Robert,Robert,name,robert,,,,,,,,,,,
,Mary,Mary,Mary,Mary,Mary,name,mary,,,,,,,,,,,
,Mari,Mari,Mari,Mary,Mary,name,mari,,,,,,,,,,,
,John,John,John,John,John,name,"john, jonh, Jonh",,,,,,,,,,,
,Bill,Bill,Bill,Bill,Bill,name,bill,,,,,,,,,,,
,Julia,Julia,Julia,Julia,Julia,name,julia,,,,,,,,,,,
,Anna,Anna,Anna,Anna,Anna,name,anna,,,,,,,,,,,
,.,.,.,.,.,,,,,,,,,,,,,
